filename,layers,seed,accuracy,patchability,sparsity,category,efficiency,connections,path,directory,score
model_cifar10_2layers_seed2_acc0.36_patch0.000_sparse0.030_BEST_EFFICIENCY_GLOBAL.pt,2,2,0.36,0.0,0.03,BEST_EFFICIENCY_GLOBAL,30.418559377027904,11834.88,data/promising_models/20250707_020938/model_cifar10_2layers_seed2_acc0.36_patch0.000_sparse0.030_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.3542240488141498
model_cifar10_2layers_seed2_acc0.36_patch0.000_sparse0.030_BEST_EFFICIENCY_SPARSITY_0.030.pt,2,2,0.36,0.0,0.03,BEST_EFFICIENCY_SPARSITY_0.030,30.418559377027904,11834.88,data/promising_models/20250707_020938/model_cifar10_2layers_seed2_acc0.36_patch0.000_sparse0.030_BEST_EFFICIENCY_SPARSITY_0.030.pt,20250707_020938,0.3542240488141498
model_cifar10_2layers_seed13_acc0.37_patch0.000_sparse0.036_BEST_EFFICIENCY_SPARSITY_0.036.pt,2,13,0.37,0.0,0.036,BEST_EFFICIENCY_SPARSITY_0.036,26.05293279976927,14201.856,data/promising_models/20250707_020938/model_cifar10_2layers_seed13_acc0.37_patch0.000_sparse0.036_BEST_EFFICIENCY_SPARSITY_0.036.pt,20250707_020938,0.35087961467627427
model_cifar10_2layers_seed13_acc0.37_patch0.000_sparse0.036_BEST_EFFICIENCY_GLOBAL.pt,2,13,0.37,0.0,0.036,BEST_EFFICIENCY_GLOBAL,26.05293279976927,14201.856,data/promising_models/20250707_020938/model_cifar10_2layers_seed13_acc0.37_patch0.000_sparse0.036_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.35087961467627427
model_cifar10_2layers_seed6_acc0.36_patch0.000_sparse0.032_BEST_EFFICIENCY_SPARSITY_0.032.pt,2,6,0.36,0.0,0.032,BEST_EFFICIENCY_SPARSITY_0.032,28.51739941596366,12623.872,data/promising_models/20250707_020938/model_cifar10_2layers_seed6_acc0.36_patch0.000_sparse0.032_BEST_EFFICIENCY_SPARSITY_0.032.pt,20250707_020938,0.3481835609425622
model_cifar10_2layers_seed6_acc0.36_patch0.000_sparse0.032_BEST_EFFICIENCY_GLOBAL.pt,2,6,0.36,0.0,0.032,BEST_EFFICIENCY_GLOBAL,28.51739941596366,12623.872,data/promising_models/20250707_020938/model_cifar10_2layers_seed6_acc0.36_patch0.000_sparse0.032_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.3481835609425622
model_cifar10_2layers_seed10_acc0.37_patch0.000_sparse0.038_BEST_EFFICIENCY_SPARSITY_0.038.pt,2,10,0.37,0.0,0.038,BEST_EFFICIENCY_SPARSITY_0.038,24.68172581030773,14990.848,data/promising_models/20250707_020938/model_cifar10_2layers_seed10_acc0.37_patch0.000_sparse0.038_BEST_EFFICIENCY_SPARSITY_0.038.pt,20250707_020938,0.3465229275174294
model_cifar10_2layers_seed4_acc0.38_patch0.000_sparse0.046_BEST_EFFICIENCY_SPARSITY_0.046.pt,2,4,0.38,0.0,0.046,BEST_EFFICIENCY_SPARSITY_0.046,20.94031261462066,18146.816,data/promising_models/20250707_020938/model_cifar10_2layers_seed4_acc0.38_patch0.000_sparse0.046_BEST_EFFICIENCY_SPARSITY_0.046.pt,20250707_020938,0.3451617843376462
model_cifar10_2layers_seed4_acc0.38_patch0.000_sparse0.046_BEST_EFFICIENCY_GLOBAL.pt,2,4,0.38,0.0,0.046,BEST_EFFICIENCY_GLOBAL,20.94031261462066,18146.816,data/promising_models/20250707_020938/model_cifar10_2layers_seed4_acc0.38_patch0.000_sparse0.046_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.3451617843376462
model_cifar10_2layers_seed10_acc0.37_patch0.000_sparse0.040_BEST_EFFICIENCY_GLOBAL.pt,2,10,0.37,0.0,0.04,BEST_EFFICIENCY_GLOBAL,23.447639519792343,15779.84,data/promising_models/20250707_020938/model_cifar10_2layers_seed10_acc0.37_patch0.000_sparse0.040_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.3426019090744691
model_cifar10_2layers_seed10_acc0.37_patch0.000_sparse0.040_BEST_EFFICIENCY_SPARSITY_0.040.pt,2,10,0.37,0.0,0.04,BEST_EFFICIENCY_SPARSITY_0.040,23.447639519792343,15779.84,data/promising_models/20250707_020938/model_cifar10_2layers_seed10_acc0.37_patch0.000_sparse0.040_BEST_EFFICIENCY_SPARSITY_0.040.pt,20250707_020938,0.3426019090744691
model_cifar10_2layers_seed2_acc0.38_patch0.000_sparse0.048_BEST_EFFICIENCY_SPARSITY_0.048.pt,2,2,0.38,0.0,0.048,BEST_EFFICIENCY_SPARSITY_0.048,20.06779958901146,18935.808,data/promising_models/20250707_020938/model_cifar10_2layers_seed2_acc0.38_patch0.000_sparse0.048_BEST_EFFICIENCY_SPARSITY_0.048.pt,20250707_020938,0.3423895797588983
model_cifar10_2layers_seed2_acc0.38_patch0.000_sparse0.048_BEST_EFFICIENCY_GLOBAL.pt,2,2,0.38,0.0,0.048,BEST_EFFICIENCY_GLOBAL,20.06779958901146,18935.808,data/promising_models/20250707_020938/model_cifar10_2layers_seed2_acc0.38_patch0.000_sparse0.048_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.3423895797588983
model_cifar10_2layers_seed6_acc0.37_patch0.000_sparse0.042_BEST_EFFICIENCY_GLOBAL.pt,2,6,0.37,0.0,0.042,BEST_EFFICIENCY_GLOBAL,22.331085256945084,16568.832000000002,data/promising_models/20250707_020938/model_cifar10_2layers_seed6_acc0.37_patch0.000_sparse0.042_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.33905432095940974
model_cifar10_2layers_seed6_acc0.37_patch0.000_sparse0.042_BEST_EFFICIENCY_SPARSITY_0.042.pt,2,6,0.37,0.0,0.042,BEST_EFFICIENCY_SPARSITY_0.042,22.331085256945084,16568.832000000002,data/promising_models/20250707_020938/model_cifar10_2layers_seed6_acc0.37_patch0.000_sparse0.042_BEST_EFFICIENCY_SPARSITY_0.042.pt,20250707_020938,0.33905432095940974
